t,i,k,hs02_desc,section,section_name,v,share
2019,398,010110,"Horses, asses, mules and hinnies: live, pure-bred breeding animals",1,Live animals; animal products,116.47500000000001,1.8419945846094598e-6
2019,398,010190,"Horses, asses, mules and hinnies: live, other than pure-bred breeding animals",1,Live animals; animal products,709.365,1.1218257038089628e-5
2019,398,010210,"Bovine animals: live, pure-bred breeding animals",1,Live animals; animal products,3289.313,5.201886012522426e-5
2019,398,010290,"Bovine animals: live, other than pure-bred breeding animals",1,Live animals; animal products,77896.911,0.001231901165226916
2019,398,010410,Sheep: live,1,Live animals; animal products,24041.097,3.8019807239382465e-4
2019,398,010420,Goats: live,1,Live animals; animal products,343.113,5.426162592050702e-6
2019,398,010511,"Poultry: live, fowls of the species gallus domesticus, weighing not more than 185g",1,Live animals; animal products,510.552,8.074127659682583e-6
2019,398,010592,"Poultry: live, weighing over 185g but not more than 2000g, fowls of the species gallus domesticus",1,Live animals; animal products,33.379,5.278723952752019e-7
2019,398,010619,"Mammals: live, other than primates, whales, dolphins and porpoises (order Cetacea), manatees and dugongs (order Sirenia)",1,Live animals; animal products,2023.482,3.200036819965416e-5
2019,398,010620,Reptiles: live (including snakes and turtles),1,Live animals; animal products,0.03,4.744351795516959e-10
2019,398,010631,"Animals: live, birds of prey",1,Live animals; animal products,29.364,4.6437715374520003e-7
2019,398,010632,"Animals: live, birds, Psittaciformes",1,Live animals; animal products,8.147,1.288407802602556e-7
2019,398,010639,"Animals: live, birds, other than birds of prey and Psittaciformes",1,Live animals; animal products,0.6809999999999999,1.0769678575823498e-8
2019,398,010690,"Animals: live, n.e.c. in chapter 01, other than mammals, reptiles and birds",1,Live animals; animal products,26.76,4.2319618016011283e-7
2019,398,020110,"Meat: of bovine animals, carcasses and half-carcasses, fresh or chilled",1,Live animals; animal products,6589.3550000000005,1.042073940851622e-4
2019,398,020120,"Meat: of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",1,Live animals; animal products,484.95400000000006,7.669307935477107e-6
2019,398,020130,"Meat: of bovine animals, boneless cuts, fresh or chilled",1,Live animals; animal products,1177.298,1.8618386267195086e-5
2019,398,020210,"Meat: of bovine animals, carcasses and half-carcasses, frozen",1,Live animals; animal products,2884.12,4.5610933001621246e-5
2019,398,020220,"Meat: of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen",1,Live animals; animal products,3967.741,6.27478637916542e-5
2019,398,020230,"Meat: of bovine animals, boneless cuts, frozen",1,Live animals; animal products,8185.175000000001,1.2944449902623512e-4
2019,398,020311,"Meat: of swine, carcasses and half-carcasses, fresh or chilled",1,Live animals; animal products,850.61,1.3451976935948937e-5
2019,398,020319,"Meat: of swine, n.e.s. in item no. 0203.1, fresh or chilled",1,Live animals; animal products,1.11,1.7554101643412754e-8
2019,398,020321,"Meat: of swine, carcasses and half-carcasses, frozen",1,Live animals; animal products,40.978,6.480468262556466e-7
2019,398,020322,"Meat: of swine, hams, shoulders and cuts thereof, with bone in, frozen",1,Live animals; animal products,33.539,5.304027162328111e-7
2019,398,020329,"Meat: of swine, n.e.s. in item no. 0203.2, frozen",1,Live animals; animal products,626.478,9.907440080506245e-6
2019,398,020410,"Meat: of sheep, lamb carcasses and half-carcasses, fresh or chilled",1,Live animals; animal products,2744.1980000000003,4.339813569518017e-5
2019,398,020421,"Meat: of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), fresh or chilled",1,Live animals; animal products,5728.064,9.058650241078687e-5
2019,398,020422,"Meat: of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",1,Live animals; animal products,25.177,3.9816181718576834e-7
2019,398,020423,"Meat: of sheep (including lamb), boneless cuts, fresh or chilled",1,Live animals; animal products,667.456,1.0555486906761893e-5
2019,398,020430,"Meat: of sheep, lamb carcasses and half-carcasses, frozen",1,Live animals; animal products,112.196,1.7743243134994027e-6
2019,398,020441,"Meat: of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), frozen",1,Live animals; animal products,327.654,5.181686144027713e-6
2019,398,020442,"Meat: of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), frozen",1,Live animals; animal products,1925.175,3.044569155978121e-5
2019,398,020443,"Meat: of sheep (including lamb), boneless cuts, frozen",1,Live animals; animal products,737.253,1.1659291981000885e-5
2019,398,020450,"Meat: of goats, fresh, chilled or frozen",1,Live animals; animal products,4.5,7.11652769327544e-8
2019,398,020610,"Offal, edible: of bovine animals, fresh or chilled",1,Live animals; animal products,17.419,2.7547287975369974e-7
2019,398,020621,"Offal, edible: of bovine animals, tongues, frozen",1,Live animals; animal products,50.305,7.955487235782688e-7
2019,398,020622,"Offal, edible: of bovine animals, livers, frozen",1,Live animals; animal products,13.708,2.1678524804315494e-7
2019,398,020629,"Offal, edible: of bovine animals, (other than tongues and livers), frozen",1,Live animals; animal products,144.86,2.2908893369952894e-6
2019,398,020630,"Offal, edible: of swine, fresh or chilled",1,Live animals; animal products,0.486,7.685849908737474e-9
2019,398,020641,"Offal, edible: of swine, livers, frozen",1,Live animals; animal products,8.674,1.3717502491438037e-7
2019,398,020649,"Offal, edible: of swine, (other than livers), frozen",1,Live animals; animal products,61.112,9.66456089758775e-7
2019,398,020680,"Offal, edible: of sheep, goats, horses, asses, mules or hinnies, fresh or chilled",1,Live animals; animal products,4.193,6.631022359534203e-8
2019,398,020690,"Offal, edible: of sheep, goats, horses, asses, mules or hinnies, frozen",1,Live animals; animal products,61.858,9.78253711223627e-7
2019,398,020711,"Meat and edible offal: of the poultry of heading no. 0105, of fowls of the species gallus domesticus, (not cut in pieces), fresh or chilled",1,Live animals; animal products,4428.099,7.002819813792285e-5
2019,398,020712,"Meat and edible offal: of the poultry of heading no. 0105, of fowls of the species gallus domesticus, (not cut in pieces), frozen",1,Live animals; animal products,5687.438999999999,8.994403810514394e-5
2019,398,020713,"Meat and edible offal: of the poultry of heading no. 0105, of fowls of the species gallus domesticus, cuts and offal, fresh or chilled",1,Live animals; animal products,2108.944,3.3351907510149066e-5
2019,398,020714,"Meat and edible offal: of the poultry of heading no. 0105, of fowls of the species gallus domesticus, cuts and offal, frozen",1,Live animals; animal products,3732.8779999999997,5.9033621472485855e-5
2019,398,020725,"Meat and edible offal: of the poultry of heading no. 0105, of turkeys, (not cut in pieces), frozen",1,Live animals; animal products,385.408,6.095037122688668e-6
2019,398,020726,"Meat and edible offal: of the poultry of heading no. 0105, of turkeys, cuts and offal, fresh or chilled",1,Live animals; animal products,2851.97,4.5102496634201675e-5
2019,398,020727,"Meat and edible offal: of the poultry of heading no. 0105, of turkeys, cuts and offal, frozen",1,Live animals; animal products,5351.663,8.463390654350559e-5
2019,398,020733,"Meat and edible offal: of the poultry of heading no. 0105, of ducks, geese or guinea fowls, (not cut in pieces), frozen",1,Live animals; animal products,0.692,1.094363814165912e-8
2019,398,020735,"Meat and edible offal: of the poultry of heading no. 0105, of ducks, geese or guinea fowls, fresh or chilled, poultry cuts or offal (excluding fatty livers)",1,Live animals; animal products,174.777,2.7640119125502255e-6
2019,398,020736,"Meat and edible offal: of the poultry of heading no. 0105, of ducks, geese or guinea fowls, frozen",1,Live animals; animal products,179.691,2.8417243949607933e-6
2019,398,020890,"Meat and edible meat offal: n.e.s. in chapter 2, fresh, chilled or frozen",1,Live animals; animal products,1.303,2.0606301298528662e-8
2019,398,020900,"Fat: pig fat, free of lean meat, and poultry fat, (not rendered or otherwise extracted), fresh, chilled, frozen, salted, in brine, dried or smoked",1,Live animals; animal products,277.093,4.38208890691727e-6
2019,398,021019,"Meat, preserved: of swine, salted, in brine, dried or smoked, n.e.s. in item no. 0210.1",1,Live animals; animal products,7.932,1.2544066147346842e-7
2019,398,021092,"Meat and edible meat offal, preserved: salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, of whales, dolphins and porpoises (mammals of the order Cetacea): and of manatees and dugongs (mammals of the order Sirenia)",1,Live animals; animal products,12.457,1.9700130105584923e-7
2019,398,021099,"Meat and edible meat offal, preserved: salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, other than of primates,whales, dolphins and porpoises, manatees and dugongs, reptiles (including snakes and turtles)",1,Live animals; animal products,10.585,1.673965458518234e-7
2019,398,030110,"Fish: live, ornamental",1,Live animals; animal products,8.881,1.4044862765328706e-7
2019,398,030191,"Fish: live, trout (salmo trutta, oncorhynchus mykiss, oncorhynchus clarki, oncorhynchus aguabonita, oncorhynchus gilae, oncorhynchus apache and oncorhynchus chrysogaster)",1,Live animals; animal products,5.061,8.003721479037111e-8
2019,398,030193,"Fish: live, carp",1,Live animals; animal products,3.44,5.4401900588594474e-8
2019,398,030199,"Fish: live, n.e.s. in heading no. 0301",1,Live animals; animal products,0.6,9.48870359103392e-9
2019,398,030211,"Fish: trout (salmo trutta, oncorhynchus mykiss, oncorhynchus clarki, oncorhynchus aguabonita, oncorhynchus gilae, oncorhynchus apache and oncorhynchus chrysogaster), fresh or chilled (excluding fillets, livers, roes, other fish meat of heading no. 0304)",1,Live animals; animal products,20.929,3.3098179576124817e-7
2019,398,030212,"Fish: Pacific salmon (oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), Atlantic salmon (salmo salar), Danube salmon (hucho hucho), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1,Live animals; animal products,51.543,8.151270819877689e-7
2019,398,030219,"Fish: salmonidae, fresh or chilled, n.e.s. in item no. 0302.1 (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1,Live animals; animal products,81.922,1.2955559593078011e-6
2019,398,030222,"Fish: plaice (pleuronectes platessa), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1,Live animals; animal products,1.865,2.9494053662130432e-8
2019,398,030233,"Fish: skipjack or stripe-bellied bonito, fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1,Live animals; animal products,1.664,2.6315337959134068e-8
2019,398,030239,"Fish: tuna, fresh or chilled, n.e.s. in item no. 0302.3 (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1,Live animals; animal products,19.635,3.1051782501658507e-7
2019,398,030265,"Fish: dogfish and other sharks, fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1,Live animals; animal products,38.885,6.149470652289232e-7
2019,398,030269,"Fish: fresh or chilled, n.e.s. in heading no. 0302 (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1,Live animals; animal products,302.971,4.791336692798563e-6
2019,398,030270,"Fish: livers and roes, fresh or chilled",1,Live animals; animal products,5.994,9.479214887442885e-8
2019,398,030311,"Fish: Pacific salmon, sockeye salmon, (red salmon), (Oncorhynchus nerka,) frozen, (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1,Live animals; animal products,26.964,4.2642233938106434e-7
2019,398,030319,"Fish: Pacific salmon, other than sockeye salmon, (Oncorhynchus gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), frozen, (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1,Live animals; animal products,13.276,2.0995338145761054e-7
2019,398,030321,"Fish: trout (salmo trutta, oncorhynchus mykiss, oncorhynchus clarki, oncorhynchus aguabonita, oncorhynchus gilae, oncorhynchus apache and oncorhynchus chrysogaster), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1,Live animals; animal products,216.111,3.4176887029365523e-6
2019,398,030322,"Fish: Atlantic salmon (salmo salar) and Danube salmon (hucho hucho), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1,Live animals; animal products,64.038,1.0127293342710503e-6
2019,398,030329,"Fish: salmonidae, frozen, n.e.s. in item no. 0302.1 and 0302.2 (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1,Live animals; animal products,178.363,2.8207227310126385e-6
2019,398,030339,"Fish: flat fish, frozen, n.e.s. in item no. 0303.3 (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1,Live animals; animal products,27.251,4.309611025987756e-7
2019,398,030342,"Fish: yellowfin tunas (thunnus albacares), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1,Live animals; animal products,20.545,3.249090254629865e-7
2019,398,030350,"Fish: herrings (clupea harengus, clupea pallasii), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1,Live animals; animal products,325.07,5.140821460562327e-6
2019,398,030374,"Fish: mackerel (scomber scombrus, scomber australasicus, scomber japonicus), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1,Live animals; animal products,69.903,1.1054814118734069e-6
2019,398,030375,"Fish: dogfish and other sharks, frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1,Live animals; animal products,226.377,3.580040421379143e-6
2019,398,030378,"Fish: hake (merluccius spp., urophycis spp.), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1,Live animals; animal products,0.601,9.504518097018975e-9
2019,398,030379,"Fish: frozen, n.e.s. in heading no. 0303 (excluding fillets, livers, roes and other fish meat of heading no. 0304)",1,Live animals; animal products,9833.877999999997,1.555179224873157e-4
2019,398,030380,"Fish: livers and roes, frozen",1,Live animals; animal products,587.501,9.291038080726697e-6
2019,398,030410,"Fish: fillets and other fish meat, fresh or chilled (whether or not minced)",1,Live animals; animal products,1792.699,2.8350649064904862e-5
2019,398,030420,"Fish: fillets, frozen",1,Live animals; animal products,41726.65300000001,6.598864036048773e-4
2019,398,030490,"Fish: fish meat n.e.s. in heading no. 0304 (whether or not minced), fresh, chilled or frozen",1,Live animals; animal products,348.149,5.505804444191447e-6
2019,398,030510,Fish meal: fit for human consumption,1,Live animals; animal products,357.408,5.652230955107086e-6
2019,398,030530,"Fish: fillets, dried, salted or in brine, but not smoked",1,Live animals; animal products,332.889,5.2644750828594845e-6
2019,398,030541,"Fish: Pacific salmon (oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), Atlantic salmon (salmo salar) and Danube salmon (hucho hucho), including fillets, smoked (whether or not cooked before or during the smoking process)",1,Live animals; animal products,6.973,1.1027455023379921e-7
2019,398,030549,"Fish: smoked (whether or not cooked before or during the smoking process), n.e.s. in item no. 0305.4 (including fillets)",1,Live animals; animal products,121.62700000000001,1.923470919444471e-6
2019,398,030551,"Fish: cod (gadus morhua, gadus ogac, gadus macrocephalus), dried (whether or not salted but not smoked)",1,Live animals; animal products,178.965,2.8302430636156422e-6
2019,398,030559,"Fish: dried (whether or not salted but not smoked), n.e.s. in item no. 0305.51",1,Live animals; animal products,2343.095,3.705488990105603e-5
2019,398,030613,"Crustaceans: shrimps and prawns, frozen (whether in shell or not, whether or not cooked by steaming or by boiling in water)",1,Live animals; animal products,163.086,2.57912452307893e-6
2019,398,030619,"Crustaceans: frozen, n.e.s. in item no. 0306.1 (whether in shell or not, whether or not cooked by steaming or by boiling in water)",1,Live animals; animal products,16.014,2.532534988446953e-7
2019,398,030710,"Molluscs: oysters, live, fresh, chilled, frozen, dried, salted or in brine (whether in shell or not)",1,Live animals; animal products,2.808,4.440713280603874e-8
2019,398,030731,"Molluscs: mussels (mytilus spp., perna spp.), live, fresh or chilled (whether in shell or not)",1,Live animals; animal products,1.494,2.362687194167446e-8
2019,398,030741,"Molluscs: cuttle fish and squid, live, fresh or chilled (whether in shell or not)",1,Live animals; animal products,1.629,2.5761830249657093e-8
2019,398,030791,"Molluscs and other aquatic invertebrates: live, fresh or chilled (whether in shell or not), n.e.s. in heading no. 0307",1,Live animals; animal products,2.308,3.6499879813510474e-8
2019,398,030799,"Molluscs and other aquatic invertebrates: frozen, dried, salted or in brine (whether in shell or not), n.e.s. in heading no. 0307",1,Live animals; animal products,3.802,6.012675175518493e-8
2019,398,040110,"Dairy produce: milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content not exceeding 1% (by weight)",1,Live animals; animal products,172.806,2.7328415212536792e-6
2019,398,040120,"Dairy produce: milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content exceeding 1% but not exceeding 6% (by weight)",1,Live animals; animal products,16291.631,2.5764409595583254e-4
2019,398,040130,"Dairy produce: milk and cream, not concentrated, not containing added sugar or other sweetening matter, of a fat content exceeding 6% (by weight)",1,Live animals; animal products,384.797,6.0853744595317995e-6
2019,398,040210,"Dairy produce: milk and cream, concentrated or containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content not exceeding 1.5% (by weight)",1,Live animals; animal products,1539.99,2.435418107192721e-5
2019,398,040221,"Dairy produce: milk and cream, concentrated, not containing added sugar or other sweetening matter, in powder, granules or other solid forms, of a fat content exceeding 1.5% (by weight)",1,Live animals; animal products,161.852,2.55960942269337e-6
2019,398,040291,"Dairy produce: milk and cream, concentrated, not containing added sugar or other sweetening matter, other than in powder, granules or other solid forms",1,Live animals; animal products,311.654,4.928654048266809e-6
2019,398,040299,"Dairy produce: milk and cream, containing added sugar or other sweetening matter, other than in powder, granules or other solid forms",1,Live animals; animal products,409.70399999999995,6.479266360101601e-6
2019,398,040310,"Dairy produce: yoghurt, whether or not concentrated or containing added sugar or other sweetening matter or flavoured or containing added fruit or cocoa",1,Live animals; animal products,4650.219999999999,7.354093202182958e-5
2019,398,040390,"Dairy produce: buttermilk, curdled milk or cream, kephir, fermented or acidified milk or cream, whether or not concentrated or containing added sweetening, flavouring, fruit or cocoa (excluding yoghurt)",1,Live animals; animal products,5483.781,8.67232874452393e-5
2019,398,040410,"Dairy produce: whey, whether or not concentrated or containing added sugar or other sweetening matter",1,Live animals; animal products,70.962,1.1222289737115818e-6
2019,398,040490,"Dairy produce: natural milk constituents (excluding whey), whether or not containing added sugar or other sweetening matter, n.e.s. in chapter 04",1,Live animals; animal products,410.591,6.493293826910347e-6
2019,398,040510,"Dairy produce: derived from milk, butter",1,Live animals; animal products,11424.306,1.8066975561211726e-4
2019,398,040520,Dairy produce: dairy spreads,1,Live animals; animal products,720.66,1.139688188319084e-5
2019,398,040590,Dairy produce: fats and oils derived from milk (other than butter or dairy spreads),1,Live animals; animal products,1484.634,2.347875327861842e-5
2019,398,040610,"Dairy produce: fresh cheese (including whey cheese), not fermented, and curd",1,Live animals; animal products,1450.1550000000002,2.293348492675966e-5
2019,398,040620,"Dairy produce: cheese of all kinds, grated or powdered",1,Live animals; animal products,15.626000000000001,2.471174705224934e-7
2019,398,040630,"Dairy produce: cheese, processed (not grated or powdered)",1,Live animals; animal products,204.723,3.2375931087787288e-6
2019,398,040640,"Dairy produce: cheese, blue-veined (not grated, powdered or processed)",1,Live animals; animal products,1.242,1.9641616433440214e-8
2019,398,040690,"Dairy produce: cheese (not grated, powdered or processed), n.e.s. in heading no. 0406",1,Live animals; animal products,9518.684,1.5053328508786185e-4
2019,398,040700,"Eggs: birds' eggs, in the shell, fresh, preserved or cooked",1,Live animals; animal products,19195.169,3.035621150346716e-4
2019,398,040811,"Eggs: birds' eggs, yolks, dried, whether or not containing added sugar or other sweetening matter",1,Live animals; animal products,17.645,2.790469581063225e-7
2019,398,040891,"Eggs: birds' eggs (not in shell, excluding yolks only), dried, whether or not containing added sugar or other sweetening matter",1,Live animals; animal products,105.90100000000001,1.674771998323472e-6
2019,398,040899,"Eggs: birds' eggs (not in shell, excluding yolks only), fresh, cooked by steaming or boiling in water, moulded, frozen, otherwise preserved, whether or not containing added sugar or other sweetening matter",1,Live animals; animal products,9.872,1.561208030844781e-7
2019,398,040900,Honey: natural,1,Live animals; animal products,588.6129999999999,9.30862381138208e-6
2019,398,041000,"Animal products: edible, n.e.s. in this or other chapters",1,Live animals; animal products,453.013,7.164176799808414e-6
2019,398,050400,"Animal products: guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, chilled, frozen, salted, in brine, dried or smoked",1,Live animals; animal products,1535.1739999999998,2.4278018411103175e-5
2019,398,050510,"Animal products: feathers and down used for stuffing, not further worked than cleaned, disinfected or treated for preservation",1,Live animals; animal products,49.543,7.834980700176557e-7
2019,398,050690,"Animal products: bones and horn-cores and powder or waste of such, unworked, defatted, simply prepared (not cut to shape), or treated with acid or degelatinised, n.e.s. in heading no. 0506",1,Live animals; animal products,3.529,5.5809391621264503e-8
2019,398,050790,"Animal products: tortoise-shell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and beaks, unworked or simply prepared but not cut to shape, waste and powder of these products",1,Live animals; animal products,304.549,4.816291983242982e-6
2019,398,050800,"Animal products:  coral and similar materials, shells of molluscs, crustaceans, echinoderms, cuttle-bone etc., unworked or simply prepared (but not cut to shape), and powder and waste thereof",1,Live animals; animal products,2.522,3.988418409431257e-8
2019,398,051000,"Animal products: ambergris, castoreum, civet, musk, cantharides, bile (dried or not) glands and other animal products, for pharmaceutical purposes, fresh, chilled, frozen or otherwise provisionally preserved",1,Live animals; animal products,16671.204,2.6364685543609845e-4
2019,398,051110,Animal products: bovine semen,1,Live animals; animal products,4.045,6.396967670955368e-8
2019,398,051191,"Animal products: of fish or crustaceans, molluscs or other aquatic invertebrates and dead animals of chapter 3, unfit for human consumption",1,Live animals; animal products,3413.187,5.397786623961715e-5
2019,398,051199,Animal products: n.e.s. in chapter 5,1,Live animals; animal products,1111.182,1.757279438948709e-5
2019,398,060110,"Plants, live: bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant",2,Vegetable products,86.619,1.3698366939196118e-6
2019,398,060120,"Plants, live: bulbs, tubers, tuberous roots, corms, crowns and rhizomes, in growth or in flower, chicory plants and roots other than of heading no. 1212",2,Vegetable products,95.318,1.5074070814836185e-6
2019,398,060220,"Plants, live: edible fruit or nut trees, shrubs and bushes, grafted or not",2,Vegetable products,20.574,3.2536764613655314e-7
2019,398,060230,"Plants, live: rhododendrons and azaleas, grafted or not",2,Vegetable products,16.044,2.53727934024247e-7
2019,398,060240,"Plants, live: roses, grafted or not",2,Vegetable products,38.071,6.020740573570872e-7
2019,398,060290,"Plants, live: n.e.s. in heading no. 0602",2,Vegetable products,383.626,6.066855673023297e-6
2019,398,060310,"Flowers, cut: flowers, buds of a kind suitable for bouquets or for ornamental purposes, fresh",2,Vegetable products,10854.786,1.7166307816350785e-4
2019,398,060390,Flowers: n.e.s. in heading no. 0603,2,Vegetable products,3.553,5.618893976490586e-8
2019,398,060491,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses: being goods of a kind suitable for bouquets or for ornamental purposes, fresh",2,Vegetable products,247.27700000000002,3.910563596466824e-6
2019,398,060499,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses: kind suitable for bouquets or for ornamental purposes dried, dyed, bleached, impregnated, otherwise prepared, excluding fresh",2,Vegetable products,6.463,1.0220915218142037e-7
2019,398,070110,"Vegetables: seed potatoes, fresh or chilled",2,Vegetable products,3394.652,5.368474437118413e-5
2019,398,070190,"Vegetables: potatoes (other than seed), fresh or chilled",2,Vegetable products,19267.057,3.046989882409254e-4
2019,398,070200,"Vegetables: tomatoes, fresh or chilled",2,Vegetable products,18839.696000000004,2.9794048514864566e-4
2019,398,070310,"Vegetables, alliaceous: onions and shallots, fresh or chilled",2,Vegetable products,18917.835000000003,2.99176214831812e-4
2019,398,070320,"Vegetables, alliaceous: garlic, fresh or chilled",2,Vegetable products,208.805,3.3021479222097293e-6
2019,398,070390,"Vegetables, alliaceous: leeks and other kinds n.e.s. in heading no. 0703, fresh or chilled",2,Vegetable products,39.623,6.266181706458949e-7
2019,398,070410,"Vegetables, brassica: cauliflowers and headed broccoli, fresh or chilled",2,Vegetable products,224.949,3.5574573068324824e-6
2019,398,070420,"Vegetables, brassica: brussel sprouts, fresh or chilled",2,Vegetable products,0.01,1.5814505985056533e-10
2019,398,070490,"Vegetables, brassica: edible, n.e.s. in heading no. 0704, fresh or chilled",2,Vegetable products,11393.944,1.8018959558139896e-4
2019,398,070511,"Vegetables: cabbage (head) lettuce (lactuca sativa), fresh or chilled",2,Vegetable products,0.627,9.915695252630446e-9
2019,398,070519,"Vegetables: lettuce (lactuca sativa), (other than cabbage lettuce), fresh or chilled",2,Vegetable products,0.175,2.767538547384893e-9
2019,398,070610,"Vegetables, root: carrots and turnips, fresh or chilled",2,Vegetable products,633.6729999999999,1.0021225451068726e-5
2019,398,070690,"Vegetables, root: salad beetroot, salsify, celeric, radishes and similar edible roots, fresh or chilled",2,Vegetable products,658.86,1.0419545413314347e-5
2019,398,070700,"Vegetables: cucumbers and gherkins, fresh or chilled",2,Vegetable products,8574.728,1.3560508727623183e-4
2019,398,070810,"Vegetables, leguminous: peas (pisum sativum), shelled or unshelled, fresh or chilled",2,Vegetable products,224.824,3.55548049358435e-6
2019,398,070820,"Vegetables, leguminous: beans (vigna spp., phaseolus spp.), shelled or unshelled, fresh or chilled",2,Vegetable products,15.993,2.5292139421900915e-7
2019,398,070930,"Vegetables: aubergines, (egg plants), fresh or chilled",2,Vegetable products,278.568,4.405415303245228e-6
2019,398,070940,"Vegetables: celery (other than celeriac), fresh or chilled",2,Vegetable products,0.793,1.2540903246149831e-8
2019,398,070951,"Vegetables: mushrooms of the genus Agaricus, fresh or chilled",2,Vegetable products,14.113,2.2319012296710283e-7
2019,398,070960,Vegetables: fruits of the genus capsicum or of the genus pimenta,2,Vegetable products,2015.0960000000002,3.186774775246348e-5
2019,398,070970,"Vegetables: spinach, New Zealand spinach and orache spinach (garden spinach), fresh or chilled",2,Vegetable products,3.171,5.014779847861426e-8
2019,398,070990,"Vegetables: edible, n.e.s. in chapter 7, fresh or chilled",2,Vegetable products,656.1,1.0375897376795592e-5
2019,398,071010,"Vegetables: potatoes, uncooked or cooked by steaming or boiling in water, frozen",2,Vegetable products,0.901,1.4248869892535936e-8
2019,398,071021,"Vegetables, leguminous: peas (pisum sativum), shelled or unshelled, uncooked or cooked by steaming or boiling in water, frozen",2,Vegetable products,18.085,2.860053407397474e-7
2019,398,071022,"Vegetables, leguminous: beans (vigna spp., phaseolus spp.), shelled or unshelled, uncooked or cooked by steaming or boiling in water, frozen",2,Vegetable products,6.68,1.0564089998017764e-7
2019,398,071030,"Vegetables: spinach, New Zealand spinach and orache spinach (garden spinach), uncooked or cooked by steaming or boiling in water, frozen",2,Vegetable products,0.193,3.052199655115911e-9
2019,398,071080,"Vegetables: uncooked or cooked by steaming or boiling in water, frozen, n.e.s. in chapter 7",2,Vegetable products,33.967,5.371713247944152e-7
2019,398,071090,"Vegetable mixtures: uncooked or cooked by steaming or boiling in water, frozen",2,Vegetable products,9.366000000000001,1.4811866305603951e-7
2019,398,071140,"Vegetables: cucumbers and gherkins, provisionally preserved but unsuitable in that state for immediate consumption",2,Vegetable products,7.165,1.1331093538293006e-7
2019,398,071190,"Vegetables and mixed vegetables: n.e.s. in heading no. 0711, provisionally preserved but unsuitable in that state for immediate consumption",2,Vegetable products,274.135,4.335309598213473e-6
2019,398,071220,"Vegetables: onions, whole, cut, sliced, broken or in powder but not further prepared, dried",2,Vegetable products,31.75,5.02110565025545e-7
2019,398,071231,"Vegetables: mushrooms of the genus Agaricus, whole, cut, sliced, broken or in powder but not further prepared, dried",2,Vegetable products,21.128,3.341288824522744e-7
2019,398,071239,"Vegetables: mushrooms, other than the genus Agaricus and truffles, whole, cut, sliced, broken or in powder but not further prepared, dried",2,Vegetable products,35.557,5.623163893106552e-7
2019,398,071290,"Vegetables: mixtures of vegetables n.e.s. in heading no. 0712, whole, cut, sliced, broken or in powder but not further prepared, dried",2,Vegetable products,31.206,4.935074737696742e-7
2019,398,071310,"Vegetables, leguminous: peas (pisum sativum), shelled, whether or not skinned or split, dried",2,Vegetable products,14791.276999999998,2.33916738643129e-4
2019,398,071320,"Vegetables, leguminous: chickpeas (garbanzos), shelled, whether or not skinned or split, dried",2,Vegetable products,4548.271,7.192865895115905e-5
2019,398,071331,"Vegetables, leguminous: beans of the species vigna mungo (l.) hepper or vigna radiata (l.) wilczek, dried, shelled, whether or not skinned or split",2,Vegetable products,49.1,7.764922438662758e-7
